"date","year","month","day","doy","sea_ice_extent","site_name"
1988-02-20,1988,2,20,51,84245.454,"QHI"
1988-02-21,1988,2,21,52,84245.454,"QHI"
1988-02-22,1988,2,22,53,84245.454,"QHI"
1988-02-23,1988,2,23,54,84245.454,"QHI"
1988-02-24,1988,2,24,55,84245.454,"QHI"
1988-02-25,1988,2,25,56,84245.454,"QHI"
1988-02-26,1988,2,26,57,84245.454,"QHI"
1988-02-27,1988,2,27,58,84245.454,"QHI"
1988-02-28,1988,2,28,59,84245.454,"QHI"
1988-02-29,1988,2,29,60,84245.454,"QHI"
1988-03-01,1988,3,1,61,84245.454,"QHI"
1988-03-02,1988,3,2,62,84245.454,"QHI"
1988-03-03,1988,3,3,63,84245.454,"QHI"
1988-03-04,1988,3,4,64,84245.454,"QHI"
1988-03-05,1988,3,5,65,84245.454,"QHI"
1988-03-06,1988,3,6,66,84245.454,"QHI"
1988-03-07,1988,3,7,67,84245.454,"QHI"
1988-03-08,1988,3,8,68,84245.454,"QHI"
1988-03-09,1988,3,9,69,84245.454,"QHI"
1988-03-10,1988,3,10,70,84245.454,"QHI"
1988-03-11,1988,3,11,71,84245.454,"QHI"
1988-03-12,1988,3,12,72,84245.454,"QHI"
1988-03-13,1988,3,13,73,84245.454,"QHI"
1988-03-14,1988,3,14,74,84245.454,"QHI"
1988-03-15,1988,3,15,75,84245.454,"QHI"
1988-03-16,1988,3,16,76,84245.454,"QHI"
1988-03-17,1988,3,17,77,84245.454,"QHI"
1988-03-18,1988,3,18,78,84245.454,"QHI"
1988-03-19,1988,3,19,79,84245.454,"QHI"
1988-03-20,1988,3,20,80,84245.454,"QHI"
1988-03-21,1988,3,21,81,84245.454,"QHI"
1988-03-22,1988,3,22,82,84245.454,"QHI"
1988-03-23,1988,3,23,83,84245.454,"QHI"
1988-03-24,1988,3,24,84,84245.454,"QHI"
1988-03-25,1988,3,25,85,84245.454,"QHI"
1988-03-26,1988,3,26,86,NA,"QHI"
1988-03-27,1988,3,27,87,84245.454,"QHI"
1988-03-28,1988,3,28,88,84245.454,"QHI"
1988-03-29,1988,3,29,89,84245.454,"QHI"
1988-03-30,1988,3,30,90,84245.454,"QHI"
1988-03-31,1988,3,31,91,84245.454,"QHI"
1988-04-01,1988,4,1,92,84245.454,"QHI"
1988-04-02,1988,4,2,93,84245.454,"QHI"
1988-04-03,1988,4,3,94,84245.454,"QHI"
1988-04-04,1988,4,4,95,84245.454,"QHI"
1988-04-05,1988,4,5,96,84245.454,"QHI"
1988-04-06,1988,4,6,97,84245.454,"QHI"
1988-04-07,1988,4,7,98,84245.454,"QHI"
1988-04-08,1988,4,8,99,84245.454,"QHI"
1988-04-09,1988,4,9,100,84245.454,"QHI"
1988-04-10,1988,4,10,101,84245.454,"QHI"
1988-04-11,1988,4,11,102,84245.454,"QHI"
1988-04-12,1988,4,12,103,84245.454,"QHI"
1988-04-13,1988,4,13,104,84245.454,"QHI"
1988-04-14,1988,4,14,105,84245.454,"QHI"
1988-04-15,1988,4,15,106,84245.454,"QHI"
1988-04-16,1988,4,16,107,84245.454,"QHI"
1988-04-17,1988,4,17,108,84245.454,"QHI"
1988-04-18,1988,4,18,109,84245.454,"QHI"
1988-04-19,1988,4,19,110,84245.454,"QHI"
1988-04-20,1988,4,20,111,84245.454,"QHI"
1988-04-21,1988,4,21,112,84245.454,"QHI"
1988-04-22,1988,4,22,113,84245.454,"QHI"
1988-04-23,1988,4,23,114,84245.454,"QHI"
1988-04-24,1988,4,24,115,84245.454,"QHI"
1988-04-25,1988,4,25,116,84245.454,"QHI"
1988-04-26,1988,4,26,117,84245.454,"QHI"
1988-04-27,1988,4,27,118,84245.454,"QHI"
1988-04-28,1988,4,28,119,84245.454,"QHI"
1988-04-29,1988,4,29,120,84245.454,"QHI"
1988-04-30,1988,4,30,121,84245.454,"QHI"
1988-05-01,1988,5,1,122,84245.454,"QHI"
1988-05-02,1988,5,2,123,84245.454,"QHI"
1988-05-03,1988,5,3,124,84245.454,"QHI"
1988-05-04,1988,5,4,125,84245.454,"QHI"
1988-05-05,1988,5,5,126,84245.454,"QHI"
1988-05-06,1988,5,6,127,NA,"QHI"
1988-05-07,1988,5,7,128,NA,"QHI"
1988-05-08,1988,5,8,129,NA,"QHI"
1988-05-09,1988,5,9,130,NA,"QHI"
1988-05-10,1988,5,10,131,84245.454,"QHI"
1988-05-11,1988,5,11,132,84245.454,"QHI"
1988-05-12,1988,5,12,133,84245.454,"QHI"
1988-05-13,1988,5,13,134,84245.454,"QHI"
1988-05-14,1988,5,14,135,84245.454,"QHI"
1988-05-15,1988,5,15,136,84245.454,"QHI"
1988-05-16,1988,5,16,137,84245.454,"QHI"
1988-05-17,1988,5,17,138,84245.454,"QHI"
1988-05-18,1988,5,18,139,84245.454,"QHI"
1988-05-19,1988,5,19,140,84245.454,"QHI"
1988-05-20,1988,5,20,141,84245.454,"QHI"
1988-05-21,1988,5,21,142,84245.454,"QHI"
1988-05-22,1988,5,22,143,84245.454,"QHI"
1988-05-23,1988,5,23,144,84245.454,"QHI"
1988-05-24,1988,5,24,145,84245.454,"QHI"
1988-05-25,1988,5,25,146,84245.454,"QHI"
1988-05-26,1988,5,26,147,84245.454,"QHI"
1988-05-27,1988,5,27,148,83258.246,"QHI"
1988-05-28,1988,5,28,149,82680.613,"QHI"
1988-05-29,1988,5,29,150,81033.272,"QHI"
1988-05-30,1988,5,30,151,80017.18,"QHI"
1988-05-31,1988,5,31,152,78924.438,"QHI"
1988-06-01,1988,6,1,153,80495.707,"QHI"
1988-06-02,1988,6,2,154,80513.318,"QHI"
1988-06-03,1988,6,3,155,80000.579,"QHI"
1988-06-04,1988,6,4,156,77254.405,"QHI"
1988-06-05,1988,6,5,157,77173.925,"QHI"
1988-06-06,1988,6,6,158,78267.366,"QHI"
1988-06-07,1988,6,7,159,76101.811,"QHI"
1988-06-08,1988,6,8,160,78330.265,"QHI"
1988-06-09,1988,6,9,161,78906.883,"QHI"
1988-06-10,1988,6,10,162,77255.039,"QHI"
1988-06-11,1988,6,11,163,76675.291,"QHI"
1988-06-12,1988,6,12,164,75663.485,"QHI"
1988-06-13,1988,6,13,165,76678.429,"QHI"
1988-06-14,1988,6,14,166,76148.951,"QHI"
1988-06-15,1988,6,15,167,78410.745,"QHI"
1988-06-16,1988,6,16,168,78841.488,"QHI"
1988-06-17,1988,6,17,169,76722.413,"QHI"
1988-06-18,1988,6,18,170,73398.984,"QHI"
1988-06-19,1988,6,19,171,70120.223,"QHI"
1988-06-20,1988,6,20,172,65716.857,"QHI"
1988-06-21,1988,6,21,173,65622.56,"QHI"
1988-06-22,1988,6,22,174,64484.915,"QHI"
1988-06-23,1988,6,23,175,64484.401,"QHI"
1988-06-24,1988,6,24,176,66734.815,"QHI"
1988-06-25,1988,6,25,177,66787.556,"QHI"
1988-06-26,1988,6,26,178,65627.228,"QHI"
1988-06-27,1988,6,27,179,NA,"QHI"
1988-06-28,1988,6,28,180,63551.657,"QHI"
1988-06-29,1988,6,29,181,60769.784,"QHI"
1988-06-30,1988,6,30,182,58160.961,"QHI"
1988-07-01,1988,7,1,183,54326.046,"QHI"
1988-07-02,1988,7,2,184,51614.374,"QHI"
1988-07-03,1988,7,3,185,47159.886,"QHI"
1988-07-04,1988,7,4,186,43842.8,"QHI"
1988-07-05,1988,7,5,187,41613.441,"QHI"
1988-07-06,1988,7,6,188,37919.908,"QHI"
1988-07-07,1988,7,7,189,35650.451,"QHI"
1988-07-08,1988,7,8,190,32829.549,"QHI"
1988-07-09,1988,7,9,191,32857.208,"QHI"
1988-07-10,1988,7,10,192,37309.133,"QHI"
1988-07-11,1988,7,11,193,31165.432,"QHI"
1988-07-12,1988,7,12,194,28366.239,"QHI"
1988-07-13,1988,7,13,195,26148.205,"QHI"
1988-07-14,1988,7,14,196,23918.883,"QHI"
1988-07-15,1988,7,15,197,23916.687,"QHI"
1988-07-16,1988,7,16,198,25598.325,"QHI"
1988-07-17,1988,7,17,199,24491.903,"QHI"
1988-07-18,1988,7,18,200,30079.459,"QHI"
1988-07-19,1988,7,19,201,31733.253,"QHI"
1988-07-20,1988,7,20,202,35574.758,"QHI"
1988-07-21,1988,7,21,203,40564.647,"QHI"
1988-07-22,1988,7,22,204,43334.522,"QHI"
1988-07-23,1988,7,23,205,44498.073,"QHI"
1988-07-24,1988,7,24,206,45076.713,"QHI"
1988-07-25,1988,7,25,207,43383.685,"QHI"
1988-07-26,1988,7,26,208,35082.07,"QHI"
1988-07-27,1988,7,27,209,33446.582,"QHI"
1988-07-28,1988,7,28,210,32879.047,"QHI"
1988-07-29,1988,7,29,211,30581.973,"QHI"
1988-07-30,1988,7,30,212,27690.668,"QHI"
1988-07-31,1988,7,31,213,31605.907,"QHI"
1988-08-01,1988,8,1,214,29980.63,"QHI"
1988-08-02,1988,8,2,215,35637.758,"QHI"
1988-08-03,1988,8,3,216,42306.498,"QHI"
1988-08-04,1988,8,4,217,45633.874,"QHI"
1988-08-05,1988,8,5,218,44568.186,"QHI"
1988-08-06,1988,8,6,219,46732.789,"QHI"
1988-08-07,1988,8,7,220,46182.176,"QHI"
1988-08-08,1988,8,8,221,43314.963,"QHI"
1988-08-09,1988,8,9,222,45591.195,"QHI"
1988-08-10,1988,8,10,223,52215.72,"QHI"
1988-08-11,1988,8,11,224,53891.029,"QHI"
1988-08-12,1988,8,12,225,49488.281,"QHI"
1988-08-13,1988,8,13,226,46140.137,"QHI"
1988-08-14,1988,8,14,227,42609.237,"QHI"
1988-08-15,1988,8,15,228,41061.628,"QHI"
1988-08-16,1988,8,16,229,42586.29,"QHI"
1988-08-17,1988,8,17,230,45390.271,"QHI"
1988-08-18,1988,8,18,231,38104.873,"QHI"
1988-08-19,1988,8,19,232,42629.036,"QHI"
1988-08-20,1988,8,20,233,40936.656,"QHI"
1988-08-21,1988,8,21,234,42105.834,"QHI"
1988-08-22,1988,8,22,235,48752.188,"QHI"
1988-08-23,1988,8,23,236,45421.582,"QHI"
1988-08-24,1988,8,24,237,45946.648,"QHI"
1988-08-25,1988,8,25,238,48123.665,"QHI"
1988-08-26,1988,8,26,239,47136.66,"QHI"
1988-08-27,1988,8,27,240,47134.953,"QHI"
1988-08-28,1988,8,28,241,42084.524,"QHI"
1988-08-29,1988,8,29,242,44331.59,"QHI"
1988-08-30,1988,8,30,243,40985.187,"QHI"
1988-08-31,1988,8,31,244,45456.146,"QHI"
1988-09-01,1988,9,1,245,47164.132,"QHI"
1988-09-02,1988,9,2,246,44225.246,"QHI"
1988-09-03,1988,9,3,247,48714.325,"QHI"
1988-09-04,1988,9,4,248,51546.669,"QHI"
1988-09-05,1988,9,5,249,53791.827,"QHI"
1988-09-06,1988,9,6,250,50409.653,"QHI"
1988-09-07,1988,9,7,251,51045.038,"QHI"
1988-09-08,1988,9,8,252,51656.348,"QHI"
1988-09-09,1988,9,9,253,49965.703,"QHI"
1988-09-10,1988,9,10,254,50487.089,"QHI"
1988-09-11,1988,9,11,255,44369.903,"QHI"
1988-09-12,1988,9,12,256,46120.443,"QHI"
1988-09-13,1988,9,13,257,47677.508,"QHI"
1988-09-14,1988,9,14,258,48845.712,"QHI"
1988-09-15,1988,9,15,259,49289.629,"QHI"
1988-09-16,1988,9,16,260,53335.018,"QHI"
1988-09-17,1988,9,17,261,52237.752,"QHI"
1988-09-18,1988,9,18,262,NA,"QHI"
1988-09-19,1988,9,19,263,54828.692,"QHI"
1988-09-20,1988,9,20,264,43282.278,"QHI"
1988-09-21,1988,9,21,265,44980.283,"QHI"
1988-09-22,1988,9,22,266,43853.565,"QHI"
1988-09-23,1988,9,23,267,NA,"QHI"
1988-09-24,1988,9,24,268,46705.162,"QHI"
1988-09-25,1988,9,25,269,45445.926,"QHI"
1988-09-26,1988,9,26,270,46113.643,"QHI"
1988-09-27,1988,9,27,271,50500.132,"QHI"
1988-09-28,1988,9,28,272,50452.747,"QHI"
1988-09-29,1988,9,29,273,51051.169,"QHI"
1988-09-30,1988,9,30,274,54412.065,"QHI"
1988-10-01,1988,10,1,275,57075.826,"QHI"
1988-10-02,1988,10,2,276,61896.643,"QHI"
1988-10-03,1988,10,3,277,60332.962,"QHI"
1988-10-04,1988,10,4,278,59753.382,"QHI"
1988-10-05,1988,10,5,279,55984.525,"QHI"
1988-10-06,1988,10,6,280,53265.612,"QHI"
1988-10-07,1988,10,7,281,55375.137,"QHI"
1988-10-08,1988,10,8,282,64521.953,"QHI"
1988-10-09,1988,10,9,283,72232.351,"QHI"
1988-10-10,1988,10,10,284,78780.105,"QHI"
1988-10-11,1988,10,11,285,79939.328,"QHI"
1988-10-12,1988,10,12,286,83175.767,"QHI"
1988-10-13,1988,10,13,287,80367.016,"QHI"
1988-10-14,1988,10,14,288,82577.625,"QHI"
1988-10-15,1988,10,15,289,84245.454,"QHI"
1988-10-16,1988,10,16,290,84245.454,"QHI"
1988-10-17,1988,10,17,291,84245.454,"QHI"
1988-10-18,1988,10,18,292,84245.454,"QHI"
1988-10-19,1988,10,19,293,84245.454,"QHI"
1988-10-20,1988,10,20,294,84245.454,"QHI"
1988-10-21,1988,10,21,295,84245.454,"QHI"
1988-10-22,1988,10,22,296,84245.454,"QHI"
1988-10-23,1988,10,23,297,84245.454,"QHI"
1988-10-24,1988,10,24,298,84245.454,"QHI"
1988-10-25,1988,10,25,299,84245.454,"QHI"
1988-10-26,1988,10,26,300,84245.454,"QHI"
1988-10-27,1988,10,27,301,84245.454,"QHI"
1988-10-28,1988,10,28,302,84245.454,"QHI"
1988-10-29,1988,10,29,303,84245.454,"QHI"
1988-10-30,1988,10,30,304,84245.454,"QHI"
1988-10-31,1988,10,31,305,84245.454,"QHI"
1988-11-01,1988,11,1,306,84245.454,"QHI"
1988-11-02,1988,11,2,307,84245.454,"QHI"
1988-11-03,1988,11,3,308,84245.454,"QHI"
1988-11-04,1988,11,4,309,84245.454,"QHI"
1988-11-05,1988,11,5,310,84245.454,"QHI"
1988-11-06,1988,11,6,311,84245.454,"QHI"
1988-11-07,1988,11,7,312,84245.454,"QHI"
1988-11-08,1988,11,8,313,84245.454,"QHI"
1988-11-09,1988,11,9,314,84245.454,"QHI"
1988-11-10,1988,11,10,315,84245.454,"QHI"
1988-11-11,1988,11,11,316,84245.454,"QHI"
1988-11-12,1988,11,12,317,84245.454,"QHI"
1988-11-13,1988,11,13,318,84245.454,"QHI"
1988-11-14,1988,11,14,319,84245.454,"QHI"
1988-11-15,1988,11,15,320,84245.454,"QHI"
1988-11-16,1988,11,16,321,84245.454,"QHI"
1988-11-17,1988,11,17,322,84245.454,"QHI"
1988-11-18,1988,11,18,323,84245.454,"QHI"
1988-11-19,1988,11,19,324,84245.454,"QHI"
1988-11-20,1988,11,20,325,84245.454,"QHI"
1988-11-21,1988,11,21,326,84245.454,"QHI"
1988-11-22,1988,11,22,327,84245.454,"QHI"
1988-11-23,1988,11,23,328,84245.454,"QHI"
1988-11-24,1988,11,24,329,84245.454,"QHI"
1988-11-25,1988,11,25,330,84245.454,"QHI"
1988-11-26,1988,11,26,331,84245.454,"QHI"
1988-11-27,1988,11,27,332,84245.454,"QHI"
1988-11-28,1988,11,28,333,84245.454,"QHI"
1988-11-29,1988,11,29,334,84245.454,"QHI"
1988-11-30,1988,11,30,335,84245.454,"QHI"
1988-12-01,1988,12,1,336,84245.454,"QHI"
1988-12-02,1988,12,2,337,84245.454,"QHI"
1988-12-03,1988,12,3,338,84245.454,"QHI"
1988-12-04,1988,12,4,339,84245.454,"QHI"
1988-12-05,1988,12,5,340,84245.454,"QHI"
1988-12-06,1988,12,6,341,84245.454,"QHI"
1988-12-07,1988,12,7,342,84245.454,"QHI"
1988-12-08,1988,12,8,343,84245.454,"QHI"
1988-12-09,1988,12,9,344,84245.454,"QHI"
1988-12-10,1988,12,10,345,84245.454,"QHI"
1988-12-11,1988,12,11,346,84245.454,"QHI"
1988-12-12,1988,12,12,347,84245.454,"QHI"
1988-12-13,1988,12,13,348,84245.454,"QHI"
1988-12-14,1988,12,14,349,84245.454,"QHI"
1988-12-15,1988,12,15,350,84245.454,"QHI"
1988-12-16,1988,12,16,351,84245.454,"QHI"
1988-12-17,1988,12,17,352,84245.454,"QHI"
1988-12-18,1988,12,18,353,84245.454,"QHI"
1988-12-19,1988,12,19,354,84245.454,"QHI"
1988-12-20,1988,12,20,355,84245.454,"QHI"
1988-12-21,1988,12,21,356,84245.454,"QHI"
1988-12-22,1988,12,22,357,84245.454,"QHI"
1988-12-23,1988,12,23,358,84245.454,"QHI"
1988-12-24,1988,12,24,359,84245.454,"QHI"
1988-12-25,1988,12,25,360,NA,"QHI"
1988-12-26,1988,12,26,361,NA,"QHI"
1988-12-27,1988,12,27,362,NA,"QHI"
1988-12-28,1988,12,28,363,NA,"QHI"
1988-12-29,1988,12,29,364,84245.454,"QHI"
1988-12-30,1988,12,30,365,84245.454,"QHI"
1988-12-31,1988,12,31,366,84245.454,"QHI"
1989-01-01,1989,1,1,1,84245.454,"QHI"
1989-01-02,1989,1,2,2,84245.454,"QHI"
1989-01-03,1989,1,3,3,84245.454,"QHI"
1989-01-04,1989,1,4,4,84245.454,"QHI"
1989-01-05,1989,1,5,5,84245.454,"QHI"
1989-01-06,1989,1,6,6,84245.454,"QHI"
1989-01-07,1989,1,7,7,84245.454,"QHI"
1989-01-08,1989,1,8,8,84245.454,"QHI"
1989-01-09,1989,1,9,9,84245.454,"QHI"
1989-01-10,1989,1,10,10,84245.454,"QHI"
1989-01-11,1989,1,11,11,84245.454,"QHI"
1989-01-12,1989,1,12,12,84245.454,"QHI"
1989-01-13,1989,1,13,13,84245.454,"QHI"
1989-01-14,1989,1,14,14,NA,"QHI"
1989-01-15,1989,1,15,15,84245.454,"QHI"
1989-01-16,1989,1,16,16,84245.454,"QHI"
1989-01-17,1989,1,17,17,84245.454,"QHI"
1989-01-18,1989,1,18,18,84245.454,"QHI"
1989-01-19,1989,1,19,19,84245.454,"QHI"
1989-01-20,1989,1,20,20,84245.454,"QHI"
1989-01-21,1989,1,21,21,84245.454,"QHI"
1989-01-22,1989,1,22,22,84245.454,"QHI"
1989-01-23,1989,1,23,23,84245.454,"QHI"
1989-01-24,1989,1,24,24,84245.454,"QHI"
1989-01-25,1989,1,25,25,84245.454,"QHI"
1989-01-26,1989,1,26,26,84245.454,"QHI"
1989-01-27,1989,1,27,27,84245.454,"QHI"
1989-01-28,1989,1,28,28,84245.454,"QHI"
1989-01-29,1989,1,29,29,84245.454,"QHI"
1989-01-30,1989,1,30,30,84245.454,"QHI"
1989-01-31,1989,1,31,31,84245.454,"QHI"
1989-02-01,1989,2,1,32,84245.454,"QHI"
1989-02-02,1989,2,2,33,84245.454,"QHI"
1989-02-03,1989,2,3,34,84245.454,"QHI"
1989-02-04,1989,2,4,35,84245.454,"QHI"
1989-02-05,1989,2,5,36,84245.454,"QHI"
1989-02-06,1989,2,6,37,84245.454,"QHI"
1989-02-07,1989,2,7,38,84245.454,"QHI"
1989-02-08,1989,2,8,39,84245.454,"QHI"
1989-02-09,1989,2,9,40,84245.454,"QHI"
1989-02-10,1989,2,10,41,84245.454,"QHI"
1989-02-11,1989,2,11,42,84245.454,"QHI"
1989-02-12,1989,2,12,43,84245.454,"QHI"
1989-02-13,1989,2,13,44,84245.454,"QHI"
1989-02-14,1989,2,14,45,84245.454,"QHI"
1989-02-15,1989,2,15,46,84245.454,"QHI"
1989-02-16,1989,2,16,47,84245.454,"QHI"
1989-02-17,1989,2,17,48,84245.454,"QHI"
1989-02-18,1989,2,18,49,84245.454,"QHI"
1989-02-19,1989,2,19,50,84245.454,"QHI"
1989-02-20,1989,2,20,51,84245.454,"QHI"
1989-02-21,1989,2,21,52,84245.454,"QHI"
1989-02-22,1989,2,22,53,84245.454,"QHI"
1989-02-23,1989,2,23,54,84245.454,"QHI"
1989-02-24,1989,2,24,55,84245.454,"QHI"
1989-02-25,1989,2,25,56,84245.454,"QHI"
1989-02-26,1989,2,26,57,84245.454,"QHI"
1989-02-27,1989,2,27,58,84245.454,"QHI"
1989-02-28,1989,2,28,59,84245.454,"QHI"
1989-03-01,1989,3,1,60,84245.454,"QHI"
1989-03-02,1989,3,2,61,84245.454,"QHI"
1989-03-03,1989,3,3,62,84245.454,"QHI"
1989-03-04,1989,3,4,63,84245.454,"QHI"
1989-03-05,1989,3,5,64,84245.454,"QHI"
1989-03-06,1989,3,6,65,84245.454,"QHI"
1989-03-07,1989,3,7,66,84245.454,"QHI"
1989-03-08,1989,3,8,67,84245.454,"QHI"
1989-03-09,1989,3,9,68,84245.454,"QHI"
1989-03-10,1989,3,10,69,84245.454,"QHI"
1989-03-11,1989,3,11,70,84245.454,"QHI"
1989-03-12,1989,3,12,71,84245.454,"QHI"
1989-03-13,1989,3,13,72,84245.454,"QHI"
1989-03-14,1989,3,14,73,84245.454,"QHI"
1989-03-15,1989,3,15,74,84245.454,"QHI"
1989-03-16,1989,3,16,75,84245.454,"QHI"
1989-03-17,1989,3,17,76,84245.454,"QHI"
1989-03-18,1989,3,18,77,84245.454,"QHI"
1989-03-19,1989,3,19,78,84245.454,"QHI"
1989-03-20,1989,3,20,79,84245.454,"QHI"
1989-03-21,1989,3,21,80,84245.454,"QHI"
1989-03-22,1989,3,22,81,84245.454,"QHI"
1989-03-23,1989,3,23,82,84245.454,"QHI"
1989-03-24,1989,3,24,83,84245.454,"QHI"
1989-03-25,1989,3,25,84,84245.454,"QHI"
1989-03-26,1989,3,26,85,84245.454,"QHI"
1989-03-27,1989,3,27,86,84245.454,"QHI"
1989-03-28,1989,3,28,87,84245.454,"QHI"
1989-03-29,1989,3,29,88,84245.454,"QHI"
1989-03-30,1989,3,30,89,84245.454,"QHI"
1989-03-31,1989,3,31,90,84245.454,"QHI"
1989-04-01,1989,4,1,91,84245.454,"QHI"
1989-04-02,1989,4,2,92,84245.454,"QHI"
1989-04-03,1989,4,3,93,84245.454,"QHI"
1989-04-04,1989,4,4,94,84245.454,"QHI"
1989-04-05,1989,4,5,95,84245.454,"QHI"
1989-04-06,1989,4,6,96,84245.454,"QHI"
1989-04-07,1989,4,7,97,84245.454,"QHI"
1989-04-08,1989,4,8,98,84245.454,"QHI"
1989-04-09,1989,4,9,99,84245.454,"QHI"
1989-04-10,1989,4,10,100,84245.454,"QHI"
1989-04-11,1989,4,11,101,84245.454,"QHI"
1989-04-12,1989,4,12,102,84245.454,"QHI"
1989-04-13,1989,4,13,103,84245.454,"QHI"
1989-04-14,1989,4,14,104,84245.454,"QHI"
1989-04-15,1989,4,15,105,84245.454,"QHI"
1989-04-16,1989,4,16,106,84245.454,"QHI"
1989-04-17,1989,4,17,107,84245.454,"QHI"
1989-04-18,1989,4,18,108,84245.454,"QHI"
1989-04-19,1989,4,19,109,84245.454,"QHI"
1989-04-20,1989,4,20,110,84245.454,"QHI"
1989-04-21,1989,4,21,111,84245.454,"QHI"
1989-04-22,1989,4,22,112,84245.454,"QHI"
1989-04-23,1989,4,23,113,84245.454,"QHI"
1989-04-24,1989,4,24,114,84245.454,"QHI"
1989-04-25,1989,4,25,115,84245.454,"QHI"
1989-04-26,1989,4,26,116,84245.454,"QHI"
1989-04-27,1989,4,27,117,84245.454,"QHI"
1989-04-28,1989,4,28,118,84245.454,"QHI"
1989-04-29,1989,4,29,119,84245.454,"QHI"
1989-04-30,1989,4,30,120,84245.454,"QHI"
1989-05-01,1989,5,1,121,84245.454,"QHI"
1989-05-02,1989,5,2,122,84245.454,"QHI"
1989-05-03,1989,5,3,123,84245.454,"QHI"
1989-05-04,1989,5,4,124,84245.454,"QHI"
1989-05-05,1989,5,5,125,84245.454,"QHI"
1989-05-06,1989,5,6,126,84245.454,"QHI"
1989-05-07,1989,5,7,127,84245.454,"QHI"
1989-05-08,1989,5,8,128,84245.454,"QHI"
1989-05-09,1989,5,9,129,84245.454,"QHI"
1989-05-10,1989,5,10,130,84245.454,"QHI"
1989-05-11,1989,5,11,131,84245.454,"QHI"
1989-05-12,1989,5,12,132,84245.454,"QHI"
1989-05-13,1989,5,13,133,84245.454,"QHI"
1989-05-14,1989,5,14,134,84245.454,"QHI"
1989-05-15,1989,5,15,135,84245.454,"QHI"
1989-05-16,1989,5,16,136,84245.454,"QHI"
1989-05-17,1989,5,17,137,84245.454,"QHI"
1989-05-18,1989,5,18,138,84245.454,"QHI"
1989-05-19,1989,5,19,139,84245.454,"QHI"
1989-05-20,1989,5,20,140,84245.454,"QHI"
1989-05-21,1989,5,21,141,84245.454,"QHI"
1989-05-22,1989,5,22,142,84245.454,"QHI"
1989-05-23,1989,5,23,143,84245.454,"QHI"
1989-05-24,1989,5,24,144,84245.454,"QHI"
1989-05-25,1989,5,25,145,84245.454,"QHI"
1989-05-26,1989,5,26,146,84245.454,"QHI"
1989-05-27,1989,5,27,147,84245.454,"QHI"
1989-05-28,1989,5,28,148,84245.454,"QHI"
1989-05-29,1989,5,29,149,84245.454,"QHI"
1989-05-30,1989,5,30,150,84245.454,"QHI"
1989-05-31,1989,5,31,151,84245.454,"QHI"
1989-06-01,1989,6,1,152,84245.454,"QHI"
1989-06-02,1989,6,2,153,84245.454,"QHI"
1989-06-03,1989,6,3,154,84245.454,"QHI"
1989-06-04,1989,6,4,155,84245.454,"QHI"
1989-06-05,1989,6,5,156,84245.454,"QHI"
1989-06-06,1989,6,6,157,84245.454,"QHI"
1989-06-07,1989,6,7,158,NA,"QHI"
1989-06-08,1989,6,8,159,NA,"QHI"
1989-06-09,1989,6,9,160,84245.454,"QHI"
1989-06-10,1989,6,10,161,84245.454,"QHI"
1989-06-11,1989,6,11,162,84245.454,"QHI"
1989-06-12,1989,6,12,163,84245.454,"QHI"
