"site_name","date","year","month","day","doy","temp"
"BARROW",1994-06-19,1994,6,19,"170",-0.4
"BARROW",1994-06-20,1994,6,20,"171",-0.3
"BARROW",1994-06-21,1994,6,21,"172",0.1
"BARROW",1994-06-22,1994,6,22,"173",-0.8
"BARROW",1994-06-23,1994,6,23,"174",-2.1
"BARROW",1994-06-24,1994,6,24,"175",-0.6
"BARROW",1994-06-25,1994,6,25,"176",-1
"BARROW",1994-06-26,1994,6,26,"177",-0.6
"BARROW",1994-06-27,1994,6,27,"178",-1.3
"BARROW",1994-06-28,1994,6,28,"179",0.8
"BARROW",1994-06-29,1994,6,29,"180",3.3
"BARROW",1994-06-30,1994,6,30,"181",4.3
"BARROW",1994-07-01,1994,7,1,"182",1.6
"BARROW",1994-07-02,1994,7,2,"183",1.9
"BARROW",1994-07-03,1994,7,3,"184",0.7
"BARROW",1994-07-04,1994,7,4,"185",1
"BARROW",1994-07-05,1994,7,5,"186",1.9
"BARROW",1994-07-06,1994,7,6,"187",2.9
"BARROW",1994-07-07,1994,7,7,"188",6.5
"BARROW",1994-07-08,1994,7,8,"189",4.2
"BARROW",1994-07-09,1994,7,9,"190",0.7
"BARROW",1994-07-10,1994,7,10,"191",1.5
"BARROW",1994-07-11,1994,7,11,"192",2.7
"BARROW",1994-07-12,1994,7,12,"193",2.4
"BARROW",1994-07-13,1994,7,13,"194",1.6
"BARROW",1994-07-14,1994,7,14,"195",4
"BARROW",1994-07-15,1994,7,15,"196",8.8
"BARROW",1994-07-16,1994,7,16,"197",2.7
"BARROW",1994-07-17,1994,7,17,"198",1.6
"BARROW",1994-07-18,1994,7,18,"199",0.4
"BARROW",1994-07-19,1994,7,19,"200",0.4
"BARROW",1994-07-20,1994,7,20,"201",4.1
"BARROW",1994-07-21,1994,7,21,"202",0.4
"BARROW",1994-07-22,1994,7,22,"203",5.1
"BARROW",1994-07-23,1994,7,23,"204",2.4
"BARROW",1994-07-24,1994,7,24,"205",4
"BARROW",1994-07-25,1994,7,25,"206",1.5
"BARROW",1994-07-26,1994,7,26,"207",11.7
"BARROW",1994-07-27,1994,7,27,"208",11.5
"BARROW",1994-07-28,1994,7,28,"209",7
"BARROW",1994-07-29,1994,7,29,"210",5.2
"BARROW",1994-07-30,1994,7,30,"211",5
"BARROW",1994-07-31,1994,7,31,"212",2.1
"BARROW",1994-08-01,1994,8,1,"213",4.6
"BARROW",1994-08-02,1994,8,2,"214",9.9
"BARROW",1994-08-03,1994,8,3,"215",5.7
"BARROW",1994-08-04,1994,8,4,"216",6.8
"BARROW",1994-08-05,1994,8,5,"217",8.1
"BARROW",1994-08-06,1994,8,6,"218",10.3
"BARROW",1994-08-07,1994,8,7,"219",9.9
"BARROW",1994-08-08,1994,8,8,"220",7.6
"BARROW",1994-08-09,1994,8,9,"221",12.7
"BARROW",1994-08-10,1994,8,10,"222",12.3
"BARROW",1994-08-11,1994,8,11,"223",12.7
"BARROW",1994-08-12,1994,8,12,"224",10.7
"BARROW",1994-08-13,1994,8,13,"225",-32.1
"BARROW",1994-08-14,1994,8,14,"226",10.7
"BARROW",1994-08-15,1994,8,15,"227",4.5
"BARROW",1994-08-16,1994,8,16,"228",9.8
"BARROW",1994-08-17,1994,8,17,"229",5.8
"BARROW",1994-08-18,1994,8,18,"230",3
"BARROW",1994-08-19,1994,8,19,"231",NA
"BARROW",1994-08-20,1994,8,20,"232",4.3
"BARROW",1994-08-21,1994,8,21,"233",2.4
"BARROW",1994-08-22,1994,8,22,"234",0.1
"BARROW",1994-08-23,1994,8,23,"235",2.5
"BARROW",1994-08-24,1994,8,24,"236",1.5
"BARROW",1994-08-25,1994,8,25,"237",1.5
"BARROW",1994-08-26,1994,8,26,"238",-0.4
"BARROW",1994-08-27,1994,8,27,"239",-2
"BARROW",1994-08-28,1994,8,28,"240",-2.3
"BARROW",1994-08-29,1994,8,29,"241",-0.7
"BARROW",1994-08-30,1994,8,30,"242",0.5
"BARROW",1994-08-31,1994,8,31,"243",2.3
"BARROW",1994-09-01,1994,9,1,"244",NA
"BARROW",1994-09-02,1994,9,2,"245",NA
"BARROW",1994-09-03,1994,9,3,"246",3.7
"BARROW",1994-09-04,1994,9,4,"247",0.7
"BARROW",1994-09-05,1994,9,5,"248",-0.4
"BARROW",1994-09-06,1994,9,6,"249",2.7
"BARROW",1994-09-07,1994,9,7,"250",-1.6
"BARROW",1994-09-08,1994,9,8,"251",-3.7
"BARROW",1994-09-09,1994,9,9,"252",-3.8
"BARROW",1994-09-10,1994,9,10,"253",-1
"BARROW",1994-09-11,1994,9,11,"254",0.3
"BARROW",1994-09-12,1994,9,12,"255",-0.9
"BARROW",1994-09-13,1994,9,13,"256",-0.9
"BARROW",1994-09-14,1994,9,14,"257",-3.7
"BARROW",1994-09-15,1994,9,15,"258",-4.7
"BARROW",1994-09-16,1994,9,16,"259",-5.8
"BARROW",1994-09-17,1994,9,17,"260",-5.1
"BARROW",1994-09-18,1994,9,18,"261",-5.3
"BARROW",1994-09-19,1994,9,19,"262",-5.8
"BARROW",1994-09-20,1994,9,20,"263",-4.6
"BARROW",1994-09-21,1994,9,21,"264",-4.8
"BARROW",1994-09-22,1994,9,22,"265",-3.1
"BARROW",1994-09-23,1994,9,23,"266",-4.2
"BARROW",1994-09-24,1994,9,24,"267",-4.6
"BARROW",1994-09-25,1994,9,25,"268",-5.5
"BARROW",1994-09-26,1994,9,26,"269",-4.4
"BARROW",1994-09-27,1994,9,27,"270",-5.4
"BARROW",1994-09-28,1994,9,28,"271",-4.7
"BARROW",1994-09-29,1994,9,29,"272",-4.8
"BARROW",1994-09-30,1994,9,30,"273",-3.6
"BARROW",1994-10-01,1994,10,1,"274",-10
"BARROW",1994-10-02,1994,10,2,"275",-8.2
"BARROW",1994-10-03,1994,10,3,"276",-9
"BARROW",1994-10-04,1994,10,4,"277",-5.8
"BARROW",1994-10-05,1994,10,5,"278",-8.5
"BARROW",1994-10-06,1994,10,6,"279",-13.6
"BARROW",1994-10-07,1994,10,7,"280",-10.8
"BARROW",1994-10-08,1994,10,8,"281",-20.9
"BARROW",1994-10-09,1994,10,9,"282",-10.4
"BARROW",1994-10-10,1994,10,10,"283",-8.6
"BARROW",1994-10-11,1994,10,11,"284",-16.2
"BARROW",1994-10-12,1994,10,12,"285",-7.9
"BARROW",1994-10-13,1994,10,13,"286",-15.4
"BARROW",1994-10-14,1994,10,14,"287",-19
"BARROW",1994-10-15,1994,10,15,"288",-9.8
"BARROW",1994-10-16,1994,10,16,"289",-8.1
"BARROW",1994-10-17,1994,10,17,"290",-14
"BARROW",1994-10-18,1994,10,18,"291",-14.7
"BARROW",1994-10-19,1994,10,19,"292",-14.8
"BARROW",1994-10-20,1994,10,20,"293",-11.3
"BARROW",1994-10-21,1994,10,21,"294",-13.8
"BARROW",1994-10-22,1994,10,22,"295",-15.7
"BARROW",1994-10-23,1994,10,23,"296",-16.7
"BARROW",1994-10-24,1994,10,24,"297",-13.7
"BARROW",1994-10-25,1994,10,25,"298",-11.6
"BARROW",1994-10-26,1994,10,26,"299",-11.7
"BARROW",1994-10-27,1994,10,27,"300",-12.4
"BARROW",1994-10-28,1994,10,28,"301",-12.8
"BARROW",1994-10-29,1994,10,29,"302",-14.5
"BARROW",1994-10-30,1994,10,30,"303",-24.8
"BARROW",1994-10-31,1994,10,31,"304",-18.6
"BARROW",1994-11-01,1994,11,1,"305",-8.9
"BARROW",1994-11-02,1994,11,2,"306",-7.9
"BARROW",1994-11-03,1994,11,3,"307",-10.3
"BARROW",1994-11-04,1994,11,4,"308",-16.9
"BARROW",1994-11-05,1994,11,5,"309",-21.2
"BARROW",1994-11-06,1994,11,6,"310",-21
"BARROW",1994-11-07,1994,11,7,"311",-24.7
"BARROW",1994-11-08,1994,11,8,"312",-27.2
"BARROW",1994-11-09,1994,11,9,"313",-23.9
"BARROW",1994-11-10,1994,11,10,"314",-20.3
"BARROW",1994-11-11,1994,11,11,"315",-20.1
"BARROW",1994-11-12,1994,11,12,"316",-18.8
"BARROW",1994-11-13,1994,11,13,"317",-22
"BARROW",1994-11-14,1994,11,14,"318",-22
"BARROW",1994-11-15,1994,11,15,"319",-22.1
"BARROW",1994-11-16,1994,11,16,"320",-20.7
"BARROW",1994-11-17,1994,11,17,"321",-23.6
"BARROW",1994-11-18,1994,11,18,"322",-22.5
"BARROW",1994-11-19,1994,11,19,"323",-25
"BARROW",1994-11-20,1994,11,20,"324",-28
"BARROW",1994-11-21,1994,11,21,"325",-29.4
"BARROW",1994-11-22,1994,11,22,"326",-27.2
"BARROW",1994-11-23,1994,11,23,"327",-24.6
"BARROW",1994-11-24,1994,11,24,"328",-29.2
"BARROW",1994-11-25,1994,11,25,"329",-30
"BARROW",1994-11-26,1994,11,26,"330",-24.3
"BARROW",1994-11-27,1994,11,27,"331",-20.5
"BARROW",1994-11-28,1994,11,28,"332",-22.6
"BARROW",1994-11-29,1994,11,29,"333",-30.2
"BARROW",1994-11-30,1994,11,30,"334",-29.4
"BARROW",1994-12-01,1994,12,1,"335",-22.2
"BARROW",1994-12-02,1994,12,2,"336",-11.1
"BARROW",1994-12-03,1994,12,3,"337",-27.3
"BARROW",1994-12-04,1994,12,4,"338",-31.9
"BARROW",1994-12-05,1994,12,5,"339",-33.4
"BARROW",1994-12-06,1994,12,6,"340",-30.9
"BARROW",1994-12-07,1994,12,7,"341",-24.3
"BARROW",1994-12-08,1994,12,8,"342",-30
"BARROW",1994-12-09,1994,12,9,"343",-30.2
"BARROW",1994-12-10,1994,12,10,"344",-30.2
"BARROW",1994-12-11,1994,12,11,"345",-32.4
"BARROW",1994-12-12,1994,12,12,"346",-31.3
"BARROW",1994-12-13,1994,12,13,"347",-33.6
"BARROW",1994-12-14,1994,12,14,"348",-33.9
"BARROW",1994-12-15,1994,12,15,"349",-31.4
"BARROW",1994-12-16,1994,12,16,"350",-25.7
"BARROW",1994-12-17,1994,12,17,"351",-30.4
"BARROW",1994-12-18,1994,12,18,"352",-27.4
"BARROW",1994-12-19,1994,12,19,"353",-25.2
"BARROW",1994-12-20,1994,12,20,"354",-23.3
"BARROW",1994-12-21,1994,12,21,"355",-25
"BARROW",1994-12-22,1994,12,22,"356",-35.4
"BARROW",1994-12-23,1994,12,23,"357",-38.1
"BARROW",1994-12-24,1994,12,24,"358",-33
"BARROW",1994-12-25,1994,12,25,"359",-35.8
"BARROW",1994-12-26,1994,12,26,"360",-23.7
"BARROW",1994-12-27,1994,12,27,"361",-18.3
"BARROW",1994-12-28,1994,12,28,"362",-17.6
"BARROW",1994-12-29,1994,12,29,"363",-16.7
"BARROW",1994-12-30,1994,12,30,"364",-14.6
"BARROW",1994-12-31,1994,12,31,"365",-13.3
"BARROW",1995-01-01,1995,1,1,"001",-13.3
"BARROW",1995-01-02,1995,1,2,"002",-12.7
"BARROW",1995-01-03,1995,1,3,"003",-13.4
"BARROW",1995-01-04,1995,1,4,"004",-22.3
"BARROW",1995-01-05,1995,1,5,"005",-20.5
"BARROW",1995-01-06,1995,1,6,"006",-19.4
"BARROW",1995-01-07,1995,1,7,"007",-20.3
"BARROW",1995-01-08,1995,1,8,"008",-19.1
"BARROW",1995-01-09,1995,1,9,"009",-17.2
"BARROW",1995-01-10,1995,1,10,"010",-24.7
"BARROW",1995-01-11,1995,1,11,"011",-28.5
"BARROW",1995-01-12,1995,1,12,"012",-30
"BARROW",1995-01-13,1995,1,13,"013",-29.6
"BARROW",1995-01-14,1995,1,14,"014",-28.9
"BARROW",1995-01-15,1995,1,15,"015",-29.6
"BARROW",1995-01-16,1995,1,16,"016",-34.9
"BARROW",1995-01-17,1995,1,17,"017",-19.8
"BARROW",1995-01-18,1995,1,18,"018",-21.1
"BARROW",1995-01-19,1995,1,19,"019",-17.3
"BARROW",1995-01-20,1995,1,20,"020",NA
"BARROW",1995-01-21,1995,1,21,"021",-19.1
"BARROW",1995-01-22,1995,1,22,"022",-18.7
"BARROW",1995-01-23,1995,1,23,"023",-15.6
"BARROW",1995-01-24,1995,1,24,"024",-18
"BARROW",1995-01-25,1995,1,25,"025",-22.6
"BARROW",1995-01-26,1995,1,26,"026",-26.6
"BARROW",1995-01-27,1995,1,27,"027",-33.1
"BARROW",1995-01-28,1995,1,28,"028",-37.2
"BARROW",1995-01-29,1995,1,29,"029",-36.9
"BARROW",1995-01-30,1995,1,30,"030",NA
"BARROW",1995-01-31,1995,1,31,"031",NA
"BARROW",1995-02-01,1995,2,1,"032",NA
"BARROW",1995-02-02,1995,2,2,"033",-40
"BARROW",1995-02-03,1995,2,3,"034",-31.4
"BARROW",1995-02-04,1995,2,4,"035",-23.7
"BARROW",1995-02-05,1995,2,5,"036",-19.1
"BARROW",1995-02-06,1995,2,6,"037",-18.3
"BARROW",1995-02-07,1995,2,7,"038",-19.1
"BARROW",1995-02-08,1995,2,8,"039",-18.1
"BARROW",1995-02-09,1995,2,9,"040",-24.7
"BARROW",1995-02-10,1995,2,10,"041",-22.9
"BARROW",1995-02-11,1995,2,11,"042",-19.3
"BARROW",1995-02-12,1995,2,12,"043",-12.3
"BARROW",1995-02-13,1995,2,13,"044",-20.8
"BARROW",1995-02-14,1995,2,14,"045",-15.2
"BARROW",1995-02-15,1995,2,15,"046",-17.9
"BARROW",1995-02-16,1995,2,16,"047",-15.6
"BARROW",1995-02-17,1995,2,17,"048",-24.3
"BARROW",1995-02-18,1995,2,18,"049",-27.1
"BARROW",1995-02-19,1995,2,19,"050",-28.2
"BARROW",1995-02-20,1995,2,20,"051",-33
"BARROW",1995-02-21,1995,2,21,"052",-34.1
"BARROW",1995-02-22,1995,2,22,"053",-34.1
"BARROW",1995-02-23,1995,2,23,"054",-34.6
"BARROW",1995-02-24,1995,2,24,"055",NA
"BARROW",1995-02-25,1995,2,25,"056",-39.8
"BARROW",1995-02-26,1995,2,26,"057",-34.4
"BARROW",1995-02-27,1995,2,27,"058",-33.9
"BARROW",1995-02-28,1995,2,28,"059",-26.2
"BARROW",1995-03-01,1995,3,1,"060",-21.8
"BARROW",1995-03-02,1995,3,2,"061",-23
"BARROW",1995-03-03,1995,3,3,"062",-21.2
"BARROW",1995-03-04,1995,3,4,"063",-8.8
"BARROW",1995-03-05,1995,3,5,"064",-16.7
"BARROW",1995-03-06,1995,3,6,"065",-21.2
"BARROW",1995-03-07,1995,3,7,"066",-13.9
"BARROW",1995-03-08,1995,3,8,"067",-14.4
"BARROW",1995-03-09,1995,3,9,"068",-23.5
"BARROW",1995-03-10,1995,3,10,"069",-32.1
"BARROW",1995-03-11,1995,3,11,"070",-38.9
"BARROW",1995-03-12,1995,3,12,"071",-38.1
"BARROW",1995-03-13,1995,3,13,"072",-39.3
"BARROW",1995-03-14,1995,3,14,"073",-38.6
"BARROW",1995-03-15,1995,3,15,"074",-39.7
"BARROW",1995-03-16,1995,3,16,"075",-32.6
"BARROW",1995-03-17,1995,3,17,"076",-31.9
"BARROW",1995-03-18,1995,3,18,"077",-29.1
"BARROW",1995-03-19,1995,3,19,"078",-36.7
"BARROW",1995-03-20,1995,3,20,"079",-33.2
"BARROW",1995-03-21,1995,3,21,"080",-33.8
"BARROW",1995-03-22,1995,3,22,"081",-34
"BARROW",1995-03-23,1995,3,23,"082",-34.6
"BARROW",1995-03-24,1995,3,24,"083",-27.9
"BARROW",1995-03-25,1995,3,25,"084",-30.9
"BARROW",1995-03-26,1995,3,26,"085",-28.7
"BARROW",1995-03-27,1995,3,27,"086",-26.2
"BARROW",1995-03-28,1995,3,28,"087",-20.4
"BARROW",1995-03-29,1995,3,29,"088",-18.3
"BARROW",1995-03-30,1995,3,30,"089",-19.4
"BARROW",1995-03-31,1995,3,31,"090",-21.5
"BARROW",1995-04-01,1995,4,1,"091",-18.2
"BARROW",1995-04-02,1995,4,2,"092",-14.9
"BARROW",1995-04-03,1995,4,3,"093",-17.7
"BARROW",1995-04-04,1995,4,4,"094",-17
"BARROW",1995-04-05,1995,4,5,"095",-16.4
"BARROW",1995-04-06,1995,4,6,"096",-20.5
"BARROW",1995-04-07,1995,4,7,"097",-22.3
"BARROW",1995-04-08,1995,4,8,"098",-21.6
"BARROW",1995-04-09,1995,4,9,"099",-23.8
"BARROW",1995-04-10,1995,4,10,"100",-21
"BARROW",1995-04-11,1995,4,11,"101",-18.8
"BARROW",1995-04-12,1995,4,12,"102",-18
"BARROW",1995-04-13,1995,4,13,"103",-15.9
"BARROW",1995-04-14,1995,4,14,"104",-14.1
"BARROW",1995-04-15,1995,4,15,"105",-25
"BARROW",1995-04-16,1995,4,16,"106",-17.7
"BARROW",1995-04-17,1995,4,17,"107",-17.4
"BARROW",1995-04-18,1995,4,18,"108",-16.7
"BARROW",1995-04-19,1995,4,19,"109",-11.7
"BARROW",1995-04-20,1995,4,20,"110",-10
"BARROW",1995-04-21,1995,4,21,"111",-12
"BARROW",1995-04-22,1995,4,22,"112",-9.1
"BARROW",1995-04-23,1995,4,23,"113",-9.3
"BARROW",1995-04-24,1995,4,24,"114",-7
"BARROW",1995-04-25,1995,4,25,"115",-5.9
"BARROW",1995-04-26,1995,4,26,"116",-1.2
"BARROW",1995-04-27,1995,4,27,"117",-1.1
"BARROW",1995-04-28,1995,4,28,"118",-3.7
"BARROW",1995-04-29,1995,4,29,"119",-2.6
"BARROW",1995-04-30,1995,4,30,"120",0.3
"BARROW",1995-05-01,1995,5,1,"121",-0.1
"BARROW",1995-05-02,1995,5,2,"122",-4.6
"BARROW",1995-05-03,1995,5,3,"123",-9.3
"BARROW",1995-05-04,1995,5,4,"124",-7.7
"BARROW",1995-05-05,1995,5,5,"125",-3.6
"BARROW",1995-05-06,1995,5,6,"126",-4.2
"BARROW",1995-05-07,1995,5,7,"127",-4.3
"BARROW",1995-05-08,1995,5,8,"128",-1.6
"BARROW",1995-05-09,1995,5,9,"129",-2.9
"BARROW",1995-05-10,1995,5,10,"130",-0.9
"BARROW",1995-05-11,1995,5,11,"131",-2.5
"BARROW",1995-05-12,1995,5,12,"132",-3.7
"BARROW",1995-05-13,1995,5,13,"133",-2.5
"BARROW",1995-05-14,1995,5,14,"134",-2.9
"BARROW",1995-05-15,1995,5,15,"135",-5.4
"BARROW",1995-05-16,1995,5,16,"136",-6.8
"BARROW",1995-05-17,1995,5,17,"137",-6.3
"BARROW",1995-05-18,1995,5,18,"138",-6
"BARROW",1995-05-19,1995,5,19,"139",-6.6
"BARROW",1995-05-20,1995,5,20,"140",-7.6
